,STATE_COUNTY,TRUMP_N,TRUMP_%,CLINTON_N,CLINTON_%,PER_CAPITA_INCOME,YEAR_x,UNINSURED_RATE,YEAR_y,SOME_COLLEGE,AFAMERPER,WHITESPER,ASIANPER,HISPANICPER,PERSENIORS,YEAR_x,POVERTY_RATE,YEAR_y,INCINEQUALITY,YEAR_x,UNEMP_RATE,YEAR_y,RURAL_POP,YEAR,CITIZENS
74,AZ_LAPAZ,4003,0.6829000000000001,1575,0.2687,22200.0,2017.0,0.24,2017.0,0.34600000000000003,0.006,0.698,0.005,0.235,0.326,2016.0,0.19448440057536828,2017.0,0.4266136162687887,2017.0,0.076,2017.0,0.563,2016.0,0.9175530000000001
75,AZ_MARICOPA,747361,0.4863,702907,0.4574,27256.0,2017.0,0.156,2017.0,0.643,0.05,0.73,0.035,0.29600000000000004,0.121,2016.0,0.16516857273842414,2017.0,0.5053050397877984,2017.0,0.052000000000000005,2017.0,0.024,2016.0,0.909482
76,AZ_MOHAVE,58282,0.7367,17455,0.2206,20833.0,2017.0,0.195,2017.0,0.47700000000000004,0.009000000000000001,0.8690000000000001,0.011,0.14800000000000002,0.233,2016.0,0.19323740493448066,2017.0,0.4414235190097259,2017.0,0.08,2017.0,0.23,2016.0,0.961233
77,AZ_NAVAJO,20577,0.5256000000000001,16459,0.4204,16626.0,2017.0,0.18600000000000003,2017.0,0.509,0.009000000000000001,0.493,0.005,0.108,0.133,2016.0,0.2990368314881285,2017.0,0.6118479221927497,2017.0,0.09699999999999999,2017.0,0.541,2016.0,0.9829030000000001
78,AZ_PIMA,167428,0.4045,224661,0.5428000000000001,25269.0,2017.0,0.16,2017.0,0.657,0.035,0.743,0.026,0.34600000000000003,0.154,2016.0,0.19085665696840556,2017.0,0.5288461538461539,2017.0,0.055999999999999994,2017.0,0.075,2016.0,0.930517
79,AZ_PINAL,72819,0.5725,47892,0.3765,20910.0,2017.0,0.14300000000000002,2017.0,0.5479999999999999,0.046,0.7240000000000001,0.017,0.285,0.139,2016.0,0.16472790264883969,2017.0,0.4311450044208665,2017.0,0.063,2017.0,0.21899999999999997,2016.0,0.9392790000000001
80,AZ_SANTACRUZ,3897,0.2445,11690,0.7158,17664.0,2017.0,0.207,2017.0,0.546,0.004,0.735,0.005,0.828,0.131,2016.0,0.2185731937308968,2017.0,0.5501768346595932,2017.0,0.115,2017.0,0.26899999999999996,2016.0,0.859991
81,AZ_YAVAPAI,71330,0.634,35590,0.3163,25186.0,2017.0,0.18100000000000002,2017.0,0.596,0.006,0.893,0.008,0.136,0.241,2016.0,0.14677907680842145,2017.0,0.4505968169761273,2017.0,0.055999999999999994,2017.0,0.332,2016.0,0.963767
82,AZ_YUMA,25165,0.4812,24605,0.4705,18840.0,2017.0,0.19399999999999998,2017.0,0.547,0.02,0.7040000000000001,0.012,0.597,0.157,2016.0,0.20476342792154711,2017.0,0.458001768346596,2017.0,0.218,2017.0,0.10400000000000001,2016.0,0.843334
83,DE_KENT,36991,0.496,33351,0.447,24851.0,2017.0,0.092,2017.0,0.599,0.24,0.6779999999999999,0.02,0.058,0.135,2016.0,0.13171971759716633,2017.0,0.4598806366047745,2017.0,0.054000000000000006,2017.0,0.27,2016.0,0.973302
84,DE_NEWCASTLE,85525,0.326,162919,0.621,32406.0,2017.0,0.086,2017.0,0.667,0.237,0.655,0.043,0.087,0.123,2016.0,0.11361759683753116,2017.0,0.4943633952254642,2017.0,0.047,2017.0,0.046,2016.0,0.943735
